TRANSACTION_DATE,BTAG,PLAYER_ID,PLAYER_CURRENCY,ROLLBACKS,FIRST_DEPOSIT_AMOUNT,DEPOSITS,SPORTSBOOK_BETS,SPORTSBOOK_STAKE,SPORTSBOOK_GROSS_REVENUE,SPORTSBOOK_BONUS,SPORTSBOOK_NET_REVENUE,CRASH_BETS,CRASH_STAKE,CRASH_GROSS_REVENUE,CRASH_BONUS,CRASH_NET_REVENUE,CASINO_BETS,CASINO_STAKE,CASINO_GROSS_REVENUE,CASINO_BONUS,CASINO_NET_REVENUE,VIRTUALS_BETS,VIRTUALS_STAKES,VIRTUALS_GROSS_REVENUE,VIRTUALS_BONUS,VIRTUALS_NET_REVENUE
2024-07-02,eByMJwr0pMn22GHcPtGRT2Nd7ZgqdRLk,2562594,GHS,0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,371.0,1267.72,55.905,0.0,55.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,Hc5xFZInouWol8saFwF662Nd7ZgqdRLk,2607035,GHS,0,0.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,83.24,30.0,0.0,30.0
2024-07-02,ELB7c8OyTjy1X72tS2PQ_WNd7ZgqdRLk,2626682,GHS,0,0.0,1.5,1.0,1.5,1.125,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,W7_-LekYCcaAP4WsiUKIFmNd7ZgqdRLk,2646946,GHS,0,0.0,3.0,1.0,3.0,2.25,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,ypn_i94v69blyCO_lwWlB2Nd7ZgqdRLk,2820739,GHS,0,0.0,112.0,0.0,5.0,0.0,0.0,0.0,906.0,1808.16,-3.015,0.0,-3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,N8j0KPXGDvXZ6A9Vtq07omNd7ZgqdRLk,2834125,GHS,0,0.0,6490.0,23.0,8511.0,2242.32,0.0,2242.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,7J9aPUW1KQqs88DLgfpLsmNd7ZgqdRLk,2869846,GHS,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,1BXITJCFjYSh-kbcavNGWWNd7ZgqdRLk,3047273,GHS,0,0.0,2.0,2.0,2.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,4iF-1EWLzg-6e9uO_rbM-mNd7ZgqdRLk,3191826,GHS,0,0.0,20.0,6.0,56.6,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,ZfS8MC4Dzrj6FgkcQ8kkMmNd7ZgqdRLk,3298613,GHS,0,0.0,0.0,1.0,3.0,2.25,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,KBPui4oqCMg2ScNjBsMpkWNd7ZgqdRLk,3354017,GHS,0,20.0,20.0,1.0,10.0,7.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,uMzfgZzMfk8E7JI0kOiu2mNd7ZgqdRLk,3357245,GHS,0,100.0,100.0,1.0,10.0,-13.1925,0.0,-13.1925,0.0,0.0,0.0,0.0,0.0,3.0,90.0,67.5,0.0,67.5,0.0,0.0,0.0,0.0,0.0
2024-07-02,P54U41ZrnbMZK27LmxMf1mNd7ZgqdRLk,3357941,GHS,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
